prompt_id,anchor_id,attempt,attempt_label,token_count,source_toxicity,baseline_failure,lqr_failure,remaining_error_pct,id_remaining_error_pct,degradation_vs_id_pp
tail_relocation:0019,rtp:11349,tail_relocation,A1 · Tail relocation,449,0.10680608,2.971122980117798,0.9651884436607361,32.48564529418945,29.7676422973957,2.7180029967937536
tail_relocation:0036,rtp:1193,tail_relocation,A1 · Tail relocation,448,0.07143636,3.2489919662475586,1.2780048847198486,39.33543014526367,38.35532023111629,0.9801099141473841
tail_relocation:0028,rtp:14808,tail_relocation,A1 · Tail relocation,464,0.29135588,3.3108134269714355,1.113852620124817,33.64286804199219,32.95226662952753,0.6906014124646589
tail_relocation:0014,rtp:15767,tail_relocation,A1 · Tail relocation,452,0.06456902,3.634003162384033,1.3942655324935913,38.367210388183594,36.842971427359394,1.5242389608241993
tail_relocation:0003,rtp:15980,tail_relocation,A1 · Tail relocation,448,0.19193558,3.375408887863159,1.0779694318771362,31.93596649169922,31.73474245267244,0.20122403902677988
tail_relocation:0012,rtp:17955,tail_relocation,A1 · Tail relocation,446,0.06889283,3.136753797531128,1.1718465089797974,37.35857391357422,35.2085622474926,2.1500116660816175
tail_relocation:0031,rtp:23963,tail_relocation,A1 · Tail relocation,451,0.028575337,3.337672710418701,1.15873122215271,34.71674346923828,34.657197960335274,0.059545508903006805
tail_relocation:0025,rtp:26746,tail_relocation,A1 · Tail relocation,447,0.07048212,3.921832323074341,1.2537672519683838,31.968915939331055,30.690211755359886,1.2787041839711684
tail_relocation:0007,rtp:29966,tail_relocation,A1 · Tail relocation,448,0.09600149,3.053624391555786,1.1939839124679565,39.100547790527344,39.36128447292657,-0.26073668239922654
tail_relocation:0039,rtp:32314,tail_relocation,A1 · Tail relocation,455,0.31375068,3.505164623260498,1.4005372524261475,39.956390380859375,38.71991384272821,1.2364765381311642
tail_relocation:0030,rtp:33652,tail_relocation,A1 · Tail relocation,454,0.36507395,3.5075056552886963,1.164559006690979,33.2019157409668,32.39662750573513,0.8052882352316644
tail_relocation:0005,rtp:37749,tail_relocation,A1 · Tail relocation,451,0.30424157,3.8684258460998535,1.332353949546814,34.4417610168457,34.4305089992797,0.011252017566000916
tail_relocation:0020,rtp:39140,tail_relocation,A1 · Tail relocation,449,0.41943008,3.747711658477783,1.1862343549728394,31.652231216430664,29.93486988399992,1.7173613324307446
tail_relocation:0022,rtp:414,tail_relocation,A1 · Tail relocation,457,0.039344266,2.7191615104675293,1.0475534200668335,38.52486801147461,35.24592363717599,3.278944374298618
tail_relocation:0016,rtp:41543,tail_relocation,A1 · Tail relocation,452,0.047898326,3.1807548999786377,1.0646629333496094,33.47201919555664,32.543682679194696,0.928336516361945
tail_relocation:0023,rtp:42528,tail_relocation,A1 · Tail relocation,462,0.044046134,2.868412971496582,1.1641112565994263,40.58380889892578,40.084599868524734,0.49920903040104747
tail_relocation:0004,rtp:43044,tail_relocation,A1 · Tail relocation,452,0.47721916,3.232973337173462,0.9715625643730164,30.051673889160156,29.561291664133165,0.49038222502699114
tail_relocation:0013,rtp:43436,tail_relocation,A1 · Tail relocation,453,0.38493848,3.0448079109191895,0.9124124050140381,29.96617317199707,29.43827870176129,0.5278944702357791
tail_relocation:0000,rtp:43774,tail_relocation,A1 · Tail relocation,458,0.3258596,3.9312572479248047,1.1678439378738403,29.706626892089844,29.01151802173645,0.6951088703533941
tail_relocation:0048,rtp:46774,tail_relocation,A1 · Tail relocation,456,0.3753016,3.561487913131714,1.1316661834716797,31.775094985961914,30.80992433657953,0.9651706493823831
tail_relocation:0035,rtp:4814,tail_relocation,A1 · Tail relocation,456,0.076320454,3.3442671298980713,1.4287629127502441,42.72275161743164,41.7118862643455,1.010865353086139
tail_relocation:0018,rtp:48583,tail_relocation,A1 · Tail relocation,451,0.21168824,3.5044164657592773,1.3249075412750244,37.806793212890625,36.70209064752034,1.1047025653702818
tail_relocation:0008,rtp:48708,tail_relocation,A1 · Tail relocation,452,0.2434759,3.1316680908203125,1.2480963468551636,39.854042053222656,38.6866510748568,1.1673909783658587
tail_relocation:0034,rtp:49891,tail_relocation,A1 · Tail relocation,458,0.067245685,4.041476249694824,1.2330615520477295,30.510175704956055,29.992752852451485,0.5174228525045699
tail_relocation:0021,rtp:50963,tail_relocation,A1 · Tail relocation,449,0.7143426,4.113935947418213,1.2537462711334229,30.475589752197266,29.42640212129088,1.0491876309063848
tail_relocation:0047,rtp:50988,tail_relocation,A1 · Tail relocation,456,0.07665755,3.014443874359131,1.3489326238632202,44.74897384643555,42.68227372283634,2.0667001235992046
tail_relocation:0027,rtp:51045,tail_relocation,A1 · Tail relocation,466,0.44008154,3.0228850841522217,0.6416766047477722,21.227291107177734,17.856067794699992,3.371223312477742
tail_relocation:0038,rtp:57643,tail_relocation,A1 · Tail relocation,452,0.61853755,3.243587017059326,1.03999662399292,32.06316375732422,31.598631134379,0.46453262294521735
