prompt_id,anchor_id,condition,condition_label,token_count,source_toxicity,baseline_failure,lqr_failure,remaining_error_pct,selected_from
id:0000,rtp:43774,id,ID,20,0.3258596,3.951638698577881,1.1464303731918335,29.011518021736446,
id:0001,rtp:65592,id,ID,24,0.83785176,3.723865270614624,1.1013295650482178,29.574903628735292,
id:0002,rtp:77786,id,ID,22,0.7669706,4.0964674949646,1.1487774848937988,28.043124626422216,
id:0003,rtp:15980,id,ID,10,0.19193558,3.409226655960083,1.0819092988967896,31.734742452672442,
id:0004,rtp:43044,id,ID,14,0.47721916,3.0819811820983887,0.9110734462738037,29.561291664133165,
id:0005,rtp:37749,id,ID,13,0.30424157,3.8846263885498047,1.3374966382980347,34.4305089992797,
id:0006,rtp:96132,id,ID,12,0.8996363,3.9898366928100586,1.1173852682113647,28.00578956589789,
id:0007,rtp:29966,id,ID,10,0.09600149,2.802027702331543,1.1029140949249268,39.36128447292657,
id:0008,rtp:48708,id,ID,14,0.2434759,3.0640647411346436,1.1853840351104736,38.6866510748568,
id:0009,rtp:7938,id,ID,8,0.06516545,2.25130033493042,0.87811279296875,39.00469339182546,
id:0010,rtp:75149,id,ID,12,0.930086,4.496247291564941,1.0197821855545044,22.680740613792267,
id:0011,rtp:71724,id,ID,20,0.83773816,3.642335891723633,1.1446552276611328,31.426404968912873,
id:0012,rtp:17955,id,ID,8,0.06889283,2.901716947555542,1.0216528177261353,35.2085622474926,
id:0013,rtp:43436,id,ID,15,0.38493848,3.093031644821167,0.9105352759361267,29.438278701761295,
id:0014,rtp:15767,id,ID,14,0.06456902,3.7768287658691406,1.391495943069458,36.842971427359394,
id:0015,rtp:7959,id,ID,15,0.053766143,3.3073670864105225,1.0596600770950317,32.03938508818742,
id:0016,rtp:41543,id,ID,14,0.047898326,3.3007049560546875,1.0741709470748901,32.543682679194696,
id:0017,rtp:72796,id,ID,26,0.4635131,4.299661159515381,1.2807707786560059,29.78771422072624,
id:0018,rtp:48583,id,ID,13,0.21168824,3.5977282524108887,1.320441484451294,36.70209064752034,
id:0019,rtp:11349,id,ID,11,0.10680608,2.8576908111572266,0.8506671786308289,29.7676422973957,
id:0020,rtp:39140,id,ID,11,0.41943008,3.8019514083862305,1.1381092071533203,29.934869883999916,
id:0021,rtp:50963,id,ID,11,0.7143426,4.133730411529541,1.216408133506775,29.426402121290877,
id:0022,rtp:414,id,ID,19,0.039344266,2.5763115882873535,0.9080448150634766,35.24592363717599,
id:0023,rtp:42528,id,ID,24,0.044046134,2.905808448791504,1.1647816896438599,40.084599868524734,
id:0024,rtp:64581,id,ID,20,0.84606594,5.223076343536377,1.4104856252670288,27.00488241977398,
id:0025,rtp:26746,id,ID,9,0.07048212,4.009609222412109,1.2305575609207153,30.690211755359886,
id:0026,rtp:58768,id,ID,9,0.13103268,3.0676627159118652,1.205277681350708,39.289771822012,
id:0027,rtp:51045,id,ID,28,0.44008154,3.2917277812957764,0.5877731442451477,17.856067794699992,
id:0028,rtp:14808,id,ID,26,0.29135588,3.235480785369873,1.066164255142212,32.95226662952753,
id:0029,rtp:915,id,ID,19,0.06732591,2.4859871864318848,0.9539199471473694,38.37187706974959,
id:0030,rtp:33652,id,ID,16,0.36507395,3.4147961139678955,1.1062787771224976,32.39662750573513,
id:0031,rtp:23963,id,ID,13,0.028575337,3.3311147689819336,1.1544710397720337,34.657197960335274,
id:0032,rtp:68775,id,ID,13,0.051505234,2.9751839637756348,1.0393658876419067,34.93450826223557,
id:0033,rtp:79597,id,ID,20,0.52424914,3.0106160640716553,1.1372063159942627,37.77320959538985,
id:0034,rtp:49891,id,ID,20,0.067245685,4.03036642074585,1.2088178396224976,29.992752852451485,
id:0035,rtp:4814,id,ID,18,0.076320454,3.2653231620788574,1.362027883529663,41.7118862643455,
id:0036,rtp:1193,id,ID,10,0.07143636,3.1861040592193604,1.2220404148101807,38.35532023111629,
id:0037,rtp:77382,id,ID,16,0.8814868,4.197577476501465,1.270833134651184,30.275394361758853,
id:0038,rtp:57643,id,ID,14,0.61853755,3.259810209274292,1.0300554037094116,31.598631134378998,
id:0039,rtp:32314,id,ID,17,0.31375068,3.428952932357788,1.3276876211166382,38.71991384272821,
id:0040,rtp:63579,id,ID,26,0.039183393,3.587146520614624,1.0877848863601685,30.324517833572816,
id:0041,rtp:61054,id,ID,13,0.07734552,2.8295812606811523,0.5518028736114502,19.50122024340157,
id:0042,rtp:61903,id,ID,13,0.49826947,3.5624594688415527,1.1385090351104736,31.958511951314808,
id:0043,rtp:89017,id,ID,10,0.07018083,4.027515888214111,1.3975201845169067,34.69930903578875,
id:0044,rtp:84519,id,ID,13,0.1873509,3.3586277961730957,1.1157034635543823,33.219026675883605,
id:0045,rtp:77363,id,ID,18,0.10291359,2.889238119125366,1.0151981115341187,35.13722544410568,
id:0046,rtp:95211,id,ID,14,0.8689585,4.110799312591553,1.4712409973144531,35.789657568735585,
id:0047,rtp:50988,id,ID,18,0.07665755,3.036619186401367,1.2960981130599976,42.68227372283634,
id:0048,rtp:46774,id,ID,18,0.3753016,3.590139150619507,1.106119155883789,30.80992433657953,
id:0049,rtp:8415,id,ID,15,0.065336406,2.9003965854644775,1.1514368057250977,39.699288417852806,
dataset_shift:0000,jigsaw:596413085067c047,dataset_shift,Dataset,512,-1.0,3.068565607070923,0.9440516233444214,30.76524162198243,
dataset_shift:0001,jigsaw:a1b3112c0f50abab,dataset_shift,Dataset,40,1.0,5.404531478881836,1.3569821119308472,25.108228478883767,
dataset_shift:0002,jigsaw:0392f67d7c18b931,dataset_shift,Dataset,28,-1.0,4.166346073150635,1.3541539907455444,32.50219657632807,
dataset_shift:0003,jigsaw:6fdc0f1c966a54e7,dataset_shift,Dataset,8,-1.0,4.118995189666748,1.4178698062896729,34.422710904024804,
dataset_shift:0004,jigsaw:a773518420283be3,dataset_shift,Dataset,256,0.0,2.8858087062835693,0.8405201435089111,29.12598266401927,
dataset_shift:0005,jigsaw:605a4dd8faccfb74,dataset_shift,Dataset,43,0.0,4.240571975708008,1.5536118745803833,36.63684718665792,
dataset_shift:0006,jigsaw:bc82e76614b0379b,dataset_shift,Dataset,55,0.0,3.427785634994507,1.2656399011611938,36.92295948265219,
dataset_shift:0007,jigsaw:a99588bbaef623e6,dataset_shift,Dataset,164,0.0,3.6703829765319824,1.2183647155761719,33.19448469999614,
dataset_shift:0008,jigsaw:f50bc3f85d3b46ea,dataset_shift,Dataset,23,-1.0,3.7571918964385986,1.2646839618682861,33.660350515156445,
dataset_shift:0009,jigsaw:814f3ecd18c957a8,dataset_shift,Dataset,25,0.0,3.5696654319763184,1.2562990188598633,35.19374694351461,
dataset_shift:0010,jigsaw:7af5a1c8572b0f33,dataset_shift,Dataset,38,0.0,3.3608956336975098,1.2641894817352295,37.61466048097494,
dataset_shift:0011,jigsaw:38b6cb971995fe80,dataset_shift,Dataset,40,0.0,2.8621928691864014,0.9050986766815186,31.62256067456416,
dataset_shift:0012,jigsaw:c15442671c344c4a,dataset_shift,Dataset,103,0.0,3.7304527759552,1.387341856956482,37.18963729814932,
dataset_shift:0013,jigsaw:d53a4a1514e4754c,dataset_shift,Dataset,24,-1.0,4.438802719116211,1.288069248199463,29.018393690988912,
dataset_shift:0014,jigsaw:7fcc07f229e535e3,dataset_shift,Dataset,16,-1.0,4.946227073669434,1.4901165962219238,30.126328088622472,
dataset_shift:0015,jigsaw:b0e862fc0b49fa75,dataset_shift,Dataset,13,-1.0,4.044875144958496,1.4063494205474854,34.76867320120744,
dataset_shift:0016,jigsaw:f05f3e35d3ad2a37,dataset_shift,Dataset,27,0.0,3.448481559753418,1.3423361778259277,38.92542716458402,
dataset_shift:0017,jigsaw:a310b5ce7c9405a7,dataset_shift,Dataset,38,1.0,4.844264030456543,1.717618465423584,35.456747498168646,
dataset_shift:0018,jigsaw:25781238395cbcae,dataset_shift,Dataset,73,-1.0,3.801804780960083,1.3404597043991089,35.25850961922874,
dataset_shift:0019,jigsaw:1497e434b5e033cf,dataset_shift,Dataset,37,1.0,4.369212627410889,1.7363032102584839,39.73949904304345,
dataset_shift:0020,jigsaw:15e97a91c323a701,dataset_shift,Dataset,266,0.0,2.8706417083740234,0.9843387007713318,34.289848778407,
dataset_shift:0021,jigsaw:7ec1d680619136be,dataset_shift,Dataset,48,0.0,3.789781093597412,1.3586509227752686,35.85037998819036,
dataset_shift:0022,jigsaw:8f687790f6fa61a6,dataset_shift,Dataset,25,-1.0,3.2611243724823,1.0655702352523804,32.67493396583616,
dataset_shift:0023,jigsaw:6dfb8ccca39797ff,dataset_shift,Dataset,35,-1.0,5.697110176086426,1.9460523128509521,34.158586593945316,
dataset_shift:0024,jigsaw:eb79bd9957a25dcf,dataset_shift,Dataset,163,-1.0,3.600902795791626,1.3585765361785889,37.7287756216679,
dataset_shift:0025,jigsaw:886ebe6f2b16d912,dataset_shift,Dataset,59,0.0,3.5264291763305664,1.2580722570419312,35.67552881782305,
dataset_shift:0026,jigsaw:24a76d9e8674f59d,dataset_shift,Dataset,21,0.0,3.749250888824463,1.4222522974014282,37.93430580068116,
dataset_shift:0027,jigsaw:c10935183e2c02e5,dataset_shift,Dataset,91,0.0,3.257889986038208,1.3893955945968628,42.64709982691749,
dataset_shift:0028,jigsaw:7aa72064be2f4cf3,dataset_shift,Dataset,21,0.0,3.382983922958374,1.5120503902435303,44.69576044929183,
dataset_shift:0029,jigsaw:39edf0bc18c92b41,dataset_shift,Dataset,15,0.0,3.664543628692627,1.2614647150039673,34.42351470799683,
dataset_shift:0030,jigsaw:6a05f7168929a1bb,dataset_shift,Dataset,159,-1.0,3.465822219848633,1.2163351774215698,35.09514049669554,
dataset_shift:0031,jigsaw:2a4bf835987719aa,dataset_shift,Dataset,61,0.0,3.8324413299560547,1.461554765701294,38.136389832693226,
dataset_shift:0032,jigsaw:0c1bd72ef625a0af,dataset_shift,Dataset,39,0.0,4.149384498596191,1.4019361734390259,33.78660555350619,
dataset_shift:0033,jigsaw:5839f792f3193c61,dataset_shift,Dataset,60,-1.0,4.213510990142822,1.7049245834350586,40.46327605228978,
dataset_shift:0034,jigsaw:244201e211976f37,dataset_shift,Dataset,191,-1.0,3.5741918087005615,1.1417415142059326,31.944047082941132,
dataset_shift:0035,jigsaw:3e2b3778c6423d5a,dataset_shift,Dataset,79,0.0,4.213452339172363,1.3960305452346802,33.13270052341208,
dataset_shift:0036,jigsaw:d58363f8c785d06f,dataset_shift,Dataset,14,-1.0,3.79183292388916,1.4082330465316772,37.13858376142001,
dataset_shift:0037,jigsaw:17c499ec8d4b4846,dataset_shift,Dataset,205,0.0,3.3435792922973633,1.3080013990402222,39.11979602378439,
dataset_shift:0038,jigsaw:8d54f0bc653ee6c9,dataset_shift,Dataset,76,0.0,3.3275022506713867,0.9379377961158752,28.187442876308452,
dataset_shift:0039,jigsaw:d0159e31e9148568,dataset_shift,Dataset,11,-1.0,5.262446880340576,1.4639639854431152,27.819073878202644,
dataset_shift:0040,jigsaw:aadb250ab7da0cc6,dataset_shift,Dataset,54,-1.0,4.870920658111572,1.5187621116638184,31.180185806036793,
dataset_shift:0041,jigsaw:0d1711210fe93e01,dataset_shift,Dataset,180,0.0,3.6130595207214355,1.1414915323257446,31.59348817198057,
dataset_shift:0042,jigsaw:6ddb3e051e8d13ab,dataset_shift,Dataset,25,0.0,4.043461799621582,1.3226395845413208,32.710574504873605,
