label,subset,method,toxicity_percent,percent_change,eval_prompts,run_status
DistilGPT-2,jigsaw_long,Original,67.89297461509705,0.0,25,smoke_test
DistilGPT-2,jigsaw_long,A-LQR,67.62049794197083,-0.401332648438166,25,smoke_test
DistilGPT-2,jigsaw_long,S-PID,68.15305948257446,0.3830806780110988,25,smoke_test
DistilGPT-2,jigsaw_long,H-infinity,68.03125143051147,0.203668812860765,25,smoke_test
DistilGPT-2,toxicchat_long,Original,0.01183679778478,0.0,25,smoke_test
DistilGPT-2,toxicchat_long,A-LQR,0.0074990515713579,-36.64628130252904,25,smoke_test
DistilGPT-2,toxicchat_long,S-PID,0.0085373139881994,-27.874800740645316,25,smoke_test
DistilGPT-2,toxicchat_long,H-infinity,0.0072810857091099,-38.48770722034237,25,smoke_test
DistilGPT-2,mmlu_ood_other_concepts,Original,0.0036035289667779,0.0,25,smoke_test
DistilGPT-2,mmlu_ood_other_concepts,A-LQR,0.0036487592296907,1.2551657924718118,25,smoke_test
DistilGPT-2,mmlu_ood_other_concepts,S-PID,0.0036607299989555,1.5873615199128146,25,smoke_test
DistilGPT-2,mmlu_ood_other_concepts,H-infinity,0.0036490157071966,1.2622831906740883,25,smoke_test
Qwen-2.5-0.5B,jigsaw_long,Original,72.70474433898926,0.0,25,smoke_test
Qwen-2.5-0.5B,jigsaw_long,A-LQR,67.34305024147034,-7.374613783826503,25,smoke_test
Qwen-2.5-0.5B,jigsaw_long,S-PID,68.64433884620667,-5.5847875261767825,25,smoke_test
Qwen-2.5-0.5B,jigsaw_long,H-infinity,67.87487864494324,-6.643123138603648,25,smoke_test
Qwen-2.5-0.5B,mmlu_ood_other_concepts,Original,0.003824265513685532,0.0,25,smoke_test
Qwen-2.5-0.5B,mmlu_ood_other_concepts,A-LQR,0.0035945544368587434,-6.006671764937437,25,smoke_test
Qwen-2.5-0.5B,mmlu_ood_other_concepts,S-PID,0.0037086450902279466,-3.0233367176997925,25,smoke_test
Qwen-2.5-0.5B,mmlu_ood_other_concepts,H-infinity,0.003613449734984897,-5.5125821663325585,25,smoke_test
Qwen-2.5-0.5B,toxicchat_long,Original,0.01058045891113,0.0,25,smoke_test
Qwen-2.5-0.5B,toxicchat_long,A-LQR,0.009369517647428438,-11.445073166228411,25,smoke_test
Qwen-2.5-0.5B,toxicchat_long,S-PID,0.009882533777272327,-6.596359758304043,25,smoke_test
Qwen-2.5-0.5B,toxicchat_long,H-infinity,0.009509351366432384,-10.123450728312708,25,smoke_test
