shift,split,semantic_id,variant,label,text,behavior,token_count,linear_residual_rms,corrected_residual_rms,correction_benefit,ridge_lambda,fold,abs_correction_benefit
GPT-2: Spanish,ID,0,0,positive,I absolutely loved this movie; the acting was brilliant and the story was moving.,0.4100898802280426,16,0.45080948497146,0.4481941510558711,0.00261533391558888,100.0,0,0.00261533391558888
GPT-2: Spanish,OOD,0,0,positive,Me encantó esta película; la actuación fue brillante y la historia fue conmovedora.,0.4784623384475708,28,1.524320488995737,1.5299897597854937,-0.005669270789756764,100.0,0,0.005669270789756764
GPT-2: Spanish,ID,0,1,positive,"For a short sentiment judgment, I absolutely loved this movie; the acting was brilliant and the story was moving. Keep the meaning unchanged.",0.8113377094268799,27,0.5692445971542525,0.5665784760594068,0.0026661210948456526,100.0,0,0.0026661210948456526
GPT-2: Spanish,OOD,0,1,positive,"For a short sentiment judgment, Me encantó esta película; la actuación fue brillante y la historia fue conmovedora. Keep the meaning unchanged.",0.5622560381889343,39,1.4291305792661182,1.4439654022142503,-0.014834822948132098,100.0,0,0.014834822948132098
GPT-2: Spanish,ID,0,2,positive,Consider the final user statement: I absolutely loved this movie; the acting was brilliant and the story was moving. Treat it as a single evaluation sample.,0.4505940079689026,30,0.5433334709985548,0.5403651556992898,0.002968315299265001,100.0,0,0.002968315299265001
GPT-2: Spanish,OOD,0,2,positive,Consider the final user statement: Me encantó esta película; la actuación fue brillante y la historia fue conmovedora. Treat it as a single evaluation sample.,0.4295285940170288,42,1.3951072777172757,1.3936017144423736,0.0015055632749021441,100.0,0,0.0015055632749021441
GPT-2: Spanish,ID,0,3,positive,"In a concise review setting, I absolutely loved this movie; the acting was brilliant and the story was moving. This is part of a controlled benchmark set.",0.5664545297622681,31,0.5769884608914707,0.5719391519486541,0.005049308942816633,100.0,0,0.005049308942816633
GPT-2: Spanish,OOD,0,3,positive,"In a concise review setting, Me encantó esta película; la actuación fue brillante y la historia fue conmovedora. This is part of a controlled benchmark set.",0.4116579592227936,43,1.3393626028726722,1.3496324631456955,-0.010269860273023346,100.0,0,0.010269860273023346
GPT-2: Spanish,ID,0,4,positive,"As a benchmark sentence, I absolutely loved this movie; the acting was brilliant and the story was moving. Preserve the original sentiment and intent.",0.5533676147460938,29,0.5234696141957272,0.5162087620752484,0.007260852120478889,100.0,0,0.007260852120478889
GPT-2: Spanish,OOD,0,4,positive,"As a benchmark sentence, Me encantó esta película; la actuación fue brillante y la historia fue conmovedora. Preserve the original sentiment and intent.",0.48138201236724854,41,1.4140002503353248,1.4263787720135845,-0.012378521678259702,100.0,0,0.012378521678259702
